Attributes,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Symbols,MSFT,GE,AAPL,ULTRACEMCO.NS,MSFT,GE,AAPL,ULTRACEMCO.NS,MSFT,GE,AAPL,ULTRACEMCO.NS,MSFT,GE,AAPL,ULTRACEMCO.NS,MSFT,GE,AAPL,ULTRACEMCO.NS,MSFT,GE,AAPL,ULTRACEMCO.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,4220.43212890625,,,,4256.0498046875,,,,4319.7998046875,,,,4243.0498046875,,,,4302.2001953125,,,,166780.0
2018-01-02,82.19432830810547,16.648059844970703,41.3802375793457,4216.7138671875,85.94999694824219,17.288461685180664,43.064998626708984,4252.2998046875,86.30999755859375,17.298076629638672,43.07500076293945,4301.0,85.5,16.85576820373535,42.314998626708984,4243.7998046875,86.12999725341797,16.903846740722656,42.540000915527344,4285.0,22483800.0,80673112.0,102223600.0,141217.0
2018-01-03,82.57684326171875,16.80546760559082,41.37303161621094,4265.94873046875,86.3499984741211,17.451923370361328,43.057498931884766,4301.9501953125,86.51000213623047,17.634614944458008,43.63750076293945,4314.0,85.97000122070312,17.336538314819336,42.9900016784668,4245.39990234375,86.05999755859375,17.596153259277344,43.13249969482422,4256.0,26061400.0,84731192.0,118071600.0,166916.0
2018-01-04,83.30365753173828,17.157316207885742,41.565216064453125,4309.13427734375,87.11000061035156,17.81730842590332,43.25749969482422,4345.5,87.66000366210938,17.903846740722656,43.36750030517578,4350.0,86.56999969482422,17.596153259277344,43.02000045776367,4295.0,86.58999633789062,17.673076629638672,43.1349983215332,4302.10009765625,21912000.0,85856680.0,89738400.0,149645.0
2018-01-05,84.33646392822266,17.166576385498047,42.0384521484375,4359.01318359375,88.19000244140625,17.826923370361328,43.75,4395.7998046875,88.41000366210938,18.14423179626465,43.842498779296875,4412.0,87.43000030517578,17.788461685180664,43.26250076293945,4350.0498046875,87.66000366210938,18.134614944458008,43.36000061035156,4359.7998046875,23407100.0,83074888.0,94640000.0,165179.0
2018-01-08,84.42251586914062,16.92583465576172,41.88230514526367,4388.2666015625,88.27999877929688,17.576923370361328,43.587501525878906,4425.2998046875,88.58000183105469,17.98076820373535,43.90250015258789,4433.39990234375,87.5999984741211,17.403846740722656,43.48249816894531,4371.2001953125,88.19999694824219,17.951923370361328,43.587501525878906,4400.0,22113000.0,85381504.0,82271200.0,176265.0
2018-01-09,84.36515808105469,17.18509292602539,41.877506256103516,4389.80322265625,88.22000122070312,17.846153259277344,43.58250045776367,4426.85009765625,88.7300033569336,17.94230842590332,43.76499938964844,4478.0,87.86000061035156,17.413461685180664,43.352500915527344,4385.2998046875,88.6500015258789,17.625,43.63750076293945,4432.89990234375,19484300.0,69056208.0,86336000.0,137512.0
2018-01-10,83.98262786865234,17.52768325805664,41.867889404296875,4366.3515625,87.81999969482422,18.201923370361328,43.5724983215332,4403.2001953125,88.19000244140625,18.326923370361328,43.57500076293945,4428.0,87.41000366210938,17.865385055541992,43.25,4376.60009765625,87.86000061035156,17.875,43.290000915527344,4428.0,18652200.0,85615088.0,95839600.0,108721.0
